scorer,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron
bodyparts,Nose,Nose,Eye,Eye,Nearknee,Nearknee,Nearfrontfetlock,Nearfrontfetlock,Nearfrontfoot,Nearfrontfoot,Offknee,Offknee,Offfrontfetlock,Offfrontfetlock,Offfrontfoot,Offfrontfoot,Shoulder,Shoulder,Midshoulder,Midshoulder,Elbow,Elbow,Girth,Girth,Wither,Wither,Nearhindhock,Nearhindhock,Nearhindfetlock,Nearhindfetlock,Nearhindfoot,Nearhindfoot,Hip,Hip,Stifle,Stifle,Offhindhock,Offhindhock,Offhindfetlock,Offhindfetlock,Offhindfoot,Offhindfoot,Ischium,Ischium
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Sample14/0001.png,232.79999999999998,72.89999999999999,226.2,45.0,166.5,111.6,174.29999999999998,136.79999999999998,183.9,146.7,124.19999999999999,109.5,112.5,132.9,116.1,147.6,159.6,66.6,153.0,48.6,133.5,77.1,124.5,83.39999999999999,136.79999999999998,28.2,52.5,95.7,52.199999999999996,135.9,60.3,148.79999999999998,81.3,32.4,79.8,71.39999999999999,,,63.3,131.7,66.6,145.5,48.3,42.6
labeled-data/Sample14/0002.png,233.39999999999998,72.6,226.5,44.699999999999996,160.5,113.7,168.9,137.7,177.0,146.4,123.3,110.39999999999999,113.1,132.29999999999998,111.0,147.29999999999998,160.5,66.89999999999999,153.29999999999998,48.9,133.5,77.1,126.6,82.8,136.79999999999998,28.2,49.8,99.6,48.6,135.29999999999998,54.6,148.2,82.8,32.4,82.2,70.2,61.5,100.5,74.39999999999999,131.1,79.2,144.9,48.6,44.1
labeled-data/Sample14/0003.png,234.0,72.0,227.7,44.699999999999996,156.6,113.39999999999999,163.5,138.6,174.0,146.7,127.19999999999999,110.7,111.3,130.79999999999998,108.0,145.5,160.5,66.89999999999999,154.2,49.199999999999996,135.0,77.39999999999999,126.6,82.8,138.6,28.2,47.699999999999996,100.2,47.699999999999996,134.7,52.8,147.9,83.7,31.799999999999997,85.2,69.89999999999999,66.89999999999999,101.39999999999999,84.89999999999999,132.9,89.1,144.6,50.1,44.1
labeled-data/Sample14/0004.png,234.89999999999998,72.6,228.29999999999998,45.9,155.4,112.2,161.4,138.29999999999998,168.0,146.7,137.1,110.7,122.39999999999999,131.4,110.39999999999999,142.2,162.0,67.5,156.0,49.199999999999996,137.4,78.0,131.1,83.1,142.2,27.0,48.0,102.89999999999999,47.699999999999996,134.7,44.699999999999996,147.29999999999998,84.0,32.4,87.3,68.7,74.7,102.0,90.89999999999999,133.79999999999998,98.1,145.79999999999998,51.3,43.199999999999996
labeled-data/Sample14/0005.png,235.79999999999998,74.7,230.39999999999998,51.0,153.9,111.6,154.79999999999998,138.0,165.29999999999998,146.7,146.7,111.3,131.1,131.7,115.8,139.79999999999998,165.29999999999998,65.7,157.2,48.9,139.2,77.1,131.4,82.8,142.2,27.0,46.8,102.3,37.8,135.29999999999998,39.6,147.9,85.5,32.4,89.39999999999999,70.8,81.89999999999999,106.5,99.0,136.2,107.1,147.0,51.3,45.3
labeled-data/Sample14/0006.png,235.79999999999998,78.6,231.29999999999998,52.5,154.5,111.89999999999999,154.5,137.7,161.1,146.7,146.7,111.6,132.29999999999998,131.7,119.39999999999999,138.0,166.2,65.39999999999999,158.7,49.199999999999996,141.29999999999998,78.89999999999999,132.9,82.5,142.79999999999998,26.7,45.0,102.3,34.8,135.0,37.199999999999996,147.9,85.5,33.0,90.0,69.6,81.89999999999999,105.6,98.1,136.5,106.8,147.0,52.8,46.8
labeled-data/Sample14/0007.png,237.0,79.8,231.6,53.4,150.6,109.5,150.9,137.4,158.1,146.4,158.1,111.0,140.4,131.4,130.79999999999998,139.5,166.79999999999998,64.5,157.5,48.6,142.5,78.6,132.9,82.5,144.0,24.599999999999998,44.4,101.39999999999999,33.9,134.4,36.9,148.2,85.8,33.0,89.7,70.2,81.89999999999999,105.6,98.7,136.79999999999998,105.89999999999999,147.0,52.5,46.8
labeled-data/Sample14/0008.png,237.89999999999998,82.2,232.2,56.4,147.0,109.5,144.9,136.5,154.2,146.7,167.7,110.7,153.29999999999998,129.6,147.0,138.29999999999998,169.5,63.0,159.6,48.6,143.4,79.8,138.6,81.3,144.29999999999998,26.4,42.6,101.7,29.099999999999998,132.6,34.8,147.9,88.2,36.3,88.5,70.5,79.5,106.8,93.3,138.29999999999998,103.8,147.9,53.699999999999996,47.699999999999996
