scorer,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron,Byron
bodyparts,Nose,Nose,Eye,Eye,Nearknee,Nearknee,Nearfrontfetlock,Nearfrontfetlock,Nearfrontfoot,Nearfrontfoot,Offknee,Offknee,Offfrontfetlock,Offfrontfetlock,Offfrontfoot,Offfrontfoot,Shoulder,Shoulder,Midshoulder,Midshoulder,Elbow,Elbow,Girth,Girth,Wither,Wither,Nearhindhock,Nearhindhock,Nearhindfetlock,Nearhindfetlock,Nearhindfoot,Nearhindfoot,Hip,Hip,Stifle,Stifle,Offhindhock,Offhindhock,Offhindfetlock,Offhindfetlock,Offhindfoot,Offhindfoot,Ischium,Ischium
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Twohorsesinvideoonemoving/0001.png,48.9,89.1,40.199999999999996,73.5,22.8,106.8,24.0,120.0,23.7,129.6,,,,,,,7.199999999999999,85.8,4.2,77.39999999999999,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0002.png,50.4,90.6,40.199999999999996,73.5,22.8,106.8,27.0,120.0,28.5,129.0,,,,,,,9.299999999999999,85.8,6.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0003.png,51.9,89.1,43.199999999999996,72.6,26.099999999999998,106.8,31.2,120.0,33.3,128.1,,,,,,,10.799999999999999,85.8,6.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0004.png,53.4,88.5,44.4,73.5,27.599999999999998,106.8,32.699999999999996,120.0,33.3,128.1,,,,,,,11.4,86.7,7.199999999999999,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0005.png,55.5,87.89999999999999,45.0,72.3,29.7,106.8,34.5,120.0,38.1,128.4,,,,,,,11.7,86.7,7.8,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0006.png,57.0,87.3,46.8,71.7,30.299999999999997,108.0,36.0,120.0,40.5,128.4,,,,,,,13.5,86.1,8.7,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0007.png,57.9,87.3,48.6,71.7,31.5,108.3,36.9,121.19999999999999,42.0,128.4,,,,,,,14.7,86.39999999999999,9.6,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0008.png,59.699999999999996,87.0,49.5,71.39999999999999,31.5,108.3,36.9,121.5,42.0,128.7,,,,,,,15.899999999999999,87.0,10.5,78.0,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0009.png,60.9,86.39999999999999,50.4,71.39999999999999,31.799999999999997,108.3,37.199999999999996,122.39999999999999,42.3,129.29999999999998,,,,,,,16.5,87.0,12.299999999999999,78.0,,,,,6.3,66.0,,,,,,,,,,,,,,,,,,
labeled-data/Twohorsesinvideoonemoving/0010.png,62.099999999999994,86.39999999999999,53.1,70.2,33.0,108.89999999999999,36.0,123.3,42.3,129.6,,,,,,,16.5,87.0,12.9,78.0,,,,,7.5,65.39999999999999,,,,,,,,,,,,,,,,,,
